Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-04-13","Ronel Blanco","HOU",1,6,18,2,0,0,2,2,0,2,0,0,0,0.5,0.666666666,0.5,0.5250630577405294,19407
"2024-04-13","Nick Lodolo","CIN",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26378
"2024-04-13","Ryan Pepiot","TBR",1,5,9,2,1,0,1,1,0,0,0,0,1,0.4,0.4,0.6,0.4287774682044983,26221
"2024-04-14","Colin Rea","MIL",1,6,9,2,0,0,1,1,0,0,0,1,1,0.4,0.5,0.4,0.4151495099067688,12317
"2024-04-14","Miles Mikolas","STL",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9803
"2024-04-14","Brayan Bello","BOS",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,23920
"2024-04-14","Mitch Keller","PIT",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,17594
"2024-04-14","Zac Gallen","ARI",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19291
"2024-04-14","Blake Snell","SFG",1,6,27,3,1,0,3,3,1,0,0,0,1,0.5,0.5,1.166666666,0.7006142238775889,13543
"2024-04-16","Yusei Kikuchi","TOR",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20633
"2024-04-16","Chris Paddack","MIN",1,5,0,1,0,0,0,0,0,0,0,1,0,0.25,0.4,0.25,0.32128726243972777,20099
"2024-04-16","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22250
"2024-04-16","Jose Quintana","NYM",1,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17268210649490356,11423
"2024-04-16","Carlos Rodon","NYY",1,5,0,1,0,0,0,0,0,1,0,0,2,0.25,0.4,0.25,0.3150378346443176,16137
