Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024-04-14,Brayan Bello,BOS,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,23920
2024-04-19,Brayan Bello,BOS,1,5,0,0,0,0,0,0,0,1,0,0,1,0.0,0.2,0.0,0.1381220459938049,23920
2024-05-12,Brayan Bello,BOS,1,3,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0.2946450511614482,23920
2024-05-17,Brayan Bello,BOS,1,5,18,3,1,0,2,2,1,0,0,0,1,0.6,0.6,1.4,0.8396877646446228,23920
2024-05-22,Brayan Bello,BOS,1,4,0,0,0,0,0,0,0,1,0,0,1,0.0,0.25,0.0,0.1726525574922561,23920
2024-05-28,Brayan Bello,BOS,1,8,27,3,1,0,3,3,0,1,0,1,1,0.5,0.625,0.666666666,0.5547980815172195,23920
2024-06-02,Brayan Bello,BOS,1,5,0,1,0,0,0,0,0,1,0,0,0,0.25,0.4,0.25,0.3149090766906738,23920
2024-06-08,Brayan Bello,BOS,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,23920
2024-06-14,Brayan Bello,BOS,1,7,18,3,1,0,2,2,1,1,0,0,2,0.5,0.571428571,1.166666666,0.6984355790274483,23920
2024-06-19,Brayan Bello,BOS,1,5,0,1,0,0,0,0,0,0,0,1,2,0.25,0.4,0.25,0.3211453676223755,23920
2024-06-25,Brayan Bello,BOS,1,3,0,0,0,0,0,0,0,0,0,1,1,0.0,0.333333333,0.0,0.2405972282091776,23920
2024-07-03,Brayan Bello,BOS,1,6,9,3,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.4419675767421722,23920
2024-07-09,Brayan Bello,BOS,1,6,18,3,1,0,2,2,0,0,0,0,3,0.5,0.5,0.666666666,0.5043304562568665,23920
2024-07-14,Brayan Bello,BOS,1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1.0,0.5140978097915649,23920
2024-03-29,Carlos Rodon,NYY,1,5,9,2,1,0,1,1,0,0,0,0,1,0.4,0.4,0.6,0.4284095168113708,16137
2024-04-03,Carlos Rodon,NYY,1,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.3145281076431274,16137
2024-04-09,Carlos Rodon,NYY,1,4,0,0,0,0,0,0,0,1,0,0,2,0.0,0.25,0.0,0.1726525574922561,16137
2024-04-16,Carlos Rodon,NYY,1,5,0,1,0,0,0,0,0,1,0,0,2,0.25,0.4,0.25,0.3149090766906738,16137
2024-04-22,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,1,0,0.0,0.333333333,0.0,0.2405972282091776,16137
2024-04-27,Carlos Rodon,NYY,1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1.0,0.5140978097915649,16137
2024-05-02,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,16137
2024-05-08,Carlos Rodon,NYY,1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1.0,0.5140978097915649,16137
2024-05-14,Carlos Rodon,NYY,1,6,9,3,0,0,1,1,1,0,0,0,2,0.5,0.5,1.0,0.6373769243558248,16137
2024-05-19,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,16137
2024-05-24,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,16137
2024-05-30,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16137
2024-06-05,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,16137
2024-06-10,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16137
2024-06-15,Carlos Rodon,NYY,1,8,27,4,3,0,3,3,0,1,0,0,1,0.571428571,0.625,1.0,0.6686103343963623,16137
2024-06-21,Carlos Rodon,NYY,1,6,27,3,0,0,3,3,2,0,0,0,1,0.5,0.5,1.5,0.8327862719694773,16137
2024-06-27,Carlos Rodon,NYY,1,10,45,6,2,0,5,5,1,0,0,1,2,0.666666666,0.7,1.222222222,0.7946213245391845,16137
2024-07-03,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,16137
2024-07-09,Carlos Rodon,NYY,1,7,36,4,1,0,4,4,1,1,0,0,0,0.666666666,0.714285714,1.333333333,0.8247120295252118,16137
2024-07-14,Carlos Rodon,NYY,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,16137
2024-07-14,Carson Fulmer,LAA,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,18311
2024-04-03,Chris Paddack,MIN,1,5,0,2,0,0,0,0,0,1,0,0,1,0.5,0.6,0.5,0.4916961073875427,20099
2024-04-10,Chris Paddack,MIN,1,6,9,2,1,0,1,1,0,1,0,0,0,0.4,0.5,0.6,0.4721096356709798,20099
2024-04-16,Chris Paddack,MIN,1,5,0,1,0,0,0,0,0,0,0,1,0,0.25,0.4,0.25,0.3211453676223755,20099
2024-04-22,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,20099
2024-04-27,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,20099
2024-05-03,Chris Paddack,MIN,1,5,0,1,1,0,0,0,0,0,0,0,1,0.2,0.2,0.4,0.2516224861145019,20099
2024-05-08,Chris Paddack,MIN,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,20099
2024-05-14,Chris Paddack,MIN,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,20099
