pitcher_names
Carlos Rodon
Dean Kremer
Brady Singer
Brayan Bello
Joey Estes
Beau Brieske
German Marquez
Jose Quintana
Ben Lively
Ryan Pepiot
Trevor Rogers
Nick Lodolo
Max Scherzer
Ronel Blanco
Mitch Keller
Jared Shuster
Jake Irvin
Colin Rea
Jameson Taillon
Miles Mikolas
Chris Paddack
Blake Snell
Logan Gilbert
Carson Fulmer
Yusei Kikuchi
Zac Gallen
Chris Sale
Randy Vasquez
